rank,score,doc_id,chunk_id,query_id
30,0.5525384545326233,201754,1,Q03
1,0.973918080329895,214253,0,Q04
2,0.7250000834465027,207381,0,Q04
3,0.6966400146484375,210935,0,Q04
4,0.6922945976257324,211482,0,Q04
5,0.679862380027771,213081,0,Q04
6,0.6701853275299072,206178,1,Q04
7,0.6635692119598389,209846,0,Q04
8,0.6633426547050476,210935,1,Q04
9,0.6621695756912231,214253,1,Q04
10,0.6607799530029297,194256,0,Q04
11,0.6573513746261597,207381,1,Q04
12,0.6472281813621521,199509,0,Q04
13,0.647040605545044,197933,1,Q04
14,0.6446998715400696,194216,2,Q04
15,0.6404917240142822,194163,1,Q04
16,0.6403378844261169,213441,0,Q04
17,0.6337869167327881,205932,0,Q04
18,0.6308960318565369,212617,0,Q04
19,0.6288394927978516,207793,0,Q04
20,0.6288127899169922,204796,1,Q04
21,0.6264022588729858,208656,1,Q04
22,0.6260251998901367,210107,0,Q04
23,0.6200730204582214,205979,1,Q04
24,0.6196532249450684,215858,0,Q04
25,0.619391918182373,208432,1,Q04
26,0.609765887260437,205979,0,Q04
27,0.6065115928649902,206359,1,Q04
28,0.5983991622924805,194247,1,Q04
29,0.5964978337287903,206178,0,Q04
30,0.595405638217926,206362,0,Q04
1,0.9898451566696167,212490,0,Q05
2,0.7200119495391846,212490,1,Q05
3,0.7154287099838257,213095,0,Q05
4,0.7046244144439697,212980,1,Q05
5,0.6943023204803467,199859,1,Q05
6,0.6877638697624207,213548,0,Q05
7,0.6873427629470825,199587,0,Q05
8,0.6724427342414856,199076,0,Q05
9,0.6661861538887024,208619,0,Q05
10,0.6576972007751465,213127,0,Q05
11,0.654400110244751,206397,1,Q05
12,0.6543924808502197,205110,0,Q05
13,0.653573215007782,210233,0,Q05
14,0.6502760052680969,199853,1,Q05
15,0.6463064551353455,199859,0,Q05
16,0.6452491879463196,199853,0,Q05
17,0.6431704759597778,200391,0,Q05
18,0.6425259113311768,213095,1,Q05
19,0.6414387226104736,213127,1,Q05
20,0.6395034790039062,203402,0,Q05
21,0.6389223337173462,213097,1,Q05
22,0.6294302940368652,207999,0,Q05
23,0.6292501091957092,200833,1,Q05
24,0.6276924014091492,210320,0,Q05
25,0.6276508569717407,200391,1,Q05
26,0.6260805726051331,207199,0,Q05
27,0.6214611530303955,214444,1,Q05
28,0.6188327074050903,214839,0,Q05
29,0.614856481552124,213097,0,Q05
30,0.6140798330307007,203402,1,Q05
1,0.8754811882972717,210133,0,Q06
2,0.8529926538467407,210789,0,Q06
3,0.7587128281593323,213250,0,Q06
4,0.7354588508605957,210133,1,Q06
5,0.7034426927566528,199915,0,Q06
6,0.7012491226196289,210137,0,Q06
7,0.6828484535217285,193722,0,Q06
8,0.6666563749313354,212363,1,Q06
9,0.6666085124015808,194890,0,Q06
10,0.6602528095245361,211649,0,Q06
11,0.6577813625335693,199174,0,Q06
12,0.6530203819274902,212865,0,Q06
13,0.6526808738708496,194698,0,Q06
14,0.6514273881912231,211975,0,Q06
15,0.6483579874038696,203334,0,Q06
16,0.6483579874038696,197162,0,Q06
17,0.6453626751899719,210530,0,Q06
18,0.6446794271469116,211755,0,Q06
19,0.6410478353500366,193380,0,Q06
20,0.64051353931427,214551,0,Q06
21,0.640173077583313,199138,0,Q06
22,0.6377564668655396,206442,0,Q06
23,0.6375973224639893,199370,0,Q06
24,0.6371643543243408,194879,0,Q06
25,0.6361055374145508,206383,1,Q06
26,0.6346726417541504,198652,1,Q06
27,0.6323390007019043,210916,1,Q06
28,0.6316881775856018,193396,0,Q06
29,0.6299988031387329,204978,0,Q06
30,0.6274915933609009,199852,1,Q06
1,0.9927682280540466,213097,0,Q07
2,0.7059814929962158,199859,1,Q07
3,0.6692311763763428,208619,0,Q07
4,0.6675089597702026,213127,1,Q07
5,0.6621872186660767,194117,0,Q07
6,0.6588306427001953,213095,1,Q07
7,0.6502306461334229,193687,0,Q07
8,0.637961745262146,214839,0,Q07
9,0.6378086805343628,213548,0,Q07
10,0.6371637582778931,213548,1,Q07
11,0.6362999677658081,212490,0,Q07
12,0.6358184814453125,200252,0,Q07
13,0.6356351971626282,199587,0,Q07
14,0.6349174380302429,205110,0,Q07
15,0.6345051527023315,199076,0,Q07
16,0.6330050230026245,203402,0,Q07
17,0.6288975477218628,213095,0,Q07
18,0.6282624006271362,200833,0,Q07
19,0.6226427555084229,205330,0,Q07
20,0.621322751045227,194790,0,Q07
21,0.6209019422531128,211963,0,Q07
22,0.6200425624847412,208746,0,Q07
23,0.6192541718482971,200391,0,Q07
24,0.6190133094787598,194285,1,Q07
25,0.6167770028114319,212980,1,Q07
26,0.6166673302650452,213144,0,Q07
27,0.6163550019264221,213102,0,Q07
28,0.6149580478668213,212154,0,Q07
29,0.6124056577682495,210233,0,Q07
30,0.611564576625824,207924,0,Q07
1,0.9914201498031616,193715,0,Q08
2,0.7273950576782227,210133,0,Q08
3,0.720053493976593,193386,0,Q08
4,0.6987676620483398,199915,1,Q08
5,0.6956958770751953,204966,0,Q08
6,0.6786820292472839,193396,0,Q08
7,0.6734012365341187,194890,0,Q08
8,0.6689945459365845,199915,0,Q08
9,0.6678428053855896,193715,1,Q08
10,0.6602009534835815,193722,0,Q08
11,0.6549372673034668,210916,1,Q08
12,0.6526311039924622,211935,0,Q08
13,0.6517422199249268,193378,0,Q08
14,0.6463751792907715,204966,1,Q08
15,0.6436513066291809,206575,1,Q08
16,0.6409994959831238,211697,1,Q08
17,0.6332929134368896,212012,0,Q08
18,0.6270025968551636,206754,1,Q08
19,0.626596212387085,199912,0,Q08
20,0.6254830956459045,194835,0,Q08
21,0.6236870288848877,210137,0,Q08
22,0.623552680015564,194301,0,Q08
23,0.622078001499176,210916,0,Q08
24,0.6196550726890564,194894,1,Q08
25,0.6172492504119873,211706,0,Q08
26,0.6149450540542603,206010,0,Q08
27,0.6139106750488281,193353,0,Q08
28,0.6123308539390564,212877,0,Q08
29,0.6112741827964783,194816,0,Q08
30,0.6102655529975891,193380,0,Q08
1,0.9873250126838684,197346,0,Q09
2,0.7544412612915039,197346,1,Q09
3,0.7214779257774353,211067,0,Q09
4,0.6922287344932556,211061,0,Q09
5,0.6918057203292847,211072,0,Q09
6,0.6704210042953491,211057,1,Q09
7,0.6700277328491211,198311,0,Q09
8,0.6671990156173706,197355,1,Q09
9,0.6647690534591675,215507,0,Q09
10,0.6541317701339722,194124,0,Q09
11,0.6539962887763977,198732,0,Q09
12,0.6538100838661194,211091,0,Q09
13,0.6528440713882446,197342,0,Q09
14,0.6525783538818359,198311,1,Q09
15,0.651202917098999,198833,0,Q09
16,0.6506223082542419,193871,1,Q09
17,0.6487681865692139,205441,0,Q09
18,0.6487466096878052,211083,0,Q09
19,0.6475790143013,211063,0,Q09
20,0.6475715041160583,197345,0,Q09
21,0.6466180086135864,211081,0,Q09
22,0.6453217267990112,215507,1,Q09
23,0.6444070935249329,210631,0,Q09
24,0.6394963264465332,211072,1,Q09
25,0.6380751132965088,211055,0,Q09
26,0.6351564526557922,197344,1,Q09
27,0.6342522501945496,211060,0,Q09
28,0.6319125890731812,211421,0,Q09
29,0.6309623122215271,211066,0,Q09
30,0.6297953724861145,215441,0,Q09
1,0.9642990231513977,199879,0,Q10
2,0.7492465376853943,204439,0,Q10
3,0.7413504123687744,194285,0,Q10
4,0.7369602918624878,194197,0,Q10
5,0.7238270044326782,206387,0,Q10
6,0.7044481039047241,212238,0,Q10
7,0.6921119689941406,214946,0,Q10
8,0.6884342432022095,195865,0,Q10
9,0.6694947481155396,194193,0,Q10
10,0.6582216620445251,202697,0,Q10
11,0.6440284252166748,205667,0,Q10
12,0.639397919178009,205699,0,Q10
13,0.6387807130813599,199159,0,Q10
14,0.6378065347671509,194488,0,Q10
15,0.6341757774353027,209011,0,Q10
16,0.6332307457923889,209252,1,Q10
17,0.6294503211975098,193687,0,Q10
18,0.6287291049957275,204439,1,Q10
19,0.6259370446205139,197882,0,Q10
20,0.624864399433136,210523,1,Q10
21,0.6233296394348145,207032,0,Q10
22,0.6215378046035767,200038,0,Q10
23,0.6214286088943481,200732,0,Q10
24,0.617925763130188,212109,0,Q10
25,0.617653489112854,212662,0,Q10
26,0.6147259473800659,193612,0,Q10
27,0.6136308908462524,202926,0,Q10
28,0.6132793426513672,194235,0,Q10
29,0.6130013465881348,209977,0,Q10
30,0.6126776933670044,194310,0,Q10
